Time,Max Attenuation,Min Attenuation,Average Attenuation,Night,Cloud_Range,Std Attenuation,Clarity Metric,Night Date,Night ID
2025-07-19 04:30:00-04:00,0.1665324568748474,-0.1636753380298614,0.0082559326235408,2025-07-19,0.3302077949047088,0.13484518191590356,0.14310111453944435,2025-07-19,2025-07-18
2025-07-19 04:35:00-04:00,0.2551093995571136,-0.2568879723548889,0.0091715638789792,2025-07-19,0.5119973719120026,0.20907585138302306,0.21824741526200225,2025-07-19,2025-07-18
2025-07-19 04:40:00-04:00,0.1644755601882934,-0.2820771932601928,0.0081451941132287,2025-07-19,0.4465527534484862,0.18501578884646472,0.19316098295969342,2025-07-19,2025-07-18
2025-07-19 04:45:00-04:00,0.3202543258666992,-0.3587375581264496,0.0087703612293961,2025-07-19,0.6789918839931488,0.2775116232889076,0.2862819845183037,2025-07-19,2025-07-18
2025-07-19 04:50:00-04:00,0.1755485981702804,-0.1891277134418487,0.0082891929201939,2025-07-19,0.3646763116121291,0.1490480742032206,0.1573372671234145,2025-07-19,2025-07-18
2025-07-19 04:55:00-04:00,0.2660108506679535,-0.2569724917411804,0.0077362977828378,2025-07-19,0.5229833424091339,0.21351244157261834,0.22124873935545614,2025-07-19,2025-07-18
2025-07-19 05:00:00-04:00,1.9115662574768064,-1.0445061922073364,0.0083985139285446,2025-07-19,2.956072449684143,1.2233387878201416,1.2317373017486861,2025-07-19,2025-07-18
2025-07-19 05:05:00-04:00,0.5743722915649414,-1.6363312005996704,0.0052633432124015,2025-07-19,2.210703492164612,0.9372493781532159,0.9425127213656174,2025-07-19,2025-07-18
2025-07-19 05:10:00-04:00,0.2038389891386032,-1.8368645906448364,0.0022123459783658,2025-07-19,2.04070357978344,0.9181701840915496,0.9203825300699154,2025-07-19,2025-07-18
2025-07-19 05:15:00-04:00,0.2184422016143798,-2.0360169410705566,-0.0018937860392093,2025-07-19,2.2544591426849365,1.0148229721552242,1.012929186116015,2025-07-19,2025-07-18
2025-07-19 05:20:00-04:00,0.2307475358247757,-3.333976984024048,-0.0031040585981085,2025-07-19,3.5647245198488235,1.6281093983159016,1.625005339717793,2025-07-19,2025-07-18
2025-07-19 05:25:00-04:00,0.9201812744140624,-4.4028801918029785,-9.800963006141514e-05,2025-07-19,5.323061466217041,2.322986303050087,2.3228882934200255,2025-07-19,2025-07-18
2025-07-19 05:30:00-04:00,1.106284499168396,-4.438020706176758,-0.0001703687151929,2025-07-19,5.544305205345154,2.3957851462374586,2.395614777522266,2025-07-19,2025-07-18
2025-07-19 05:35:00-04:00,0.1738989502191543,-4.437456130981445,-0.002238118037377,2025-07-19,4.6113550812006,2.1335098566048942,2.1312717385675173,2025-07-19,2025-07-18
2025-07-19 05:40:00-04:00,0.4743759930133819,-4.4932146072387695,-0.0019922131477298,2025-07-19,4.967590600252152,2.2379296392658086,2.235937426118079,2025-07-19,2025-07-18
2025-07-19 05:45:00-04:00,0.8395612239837646,-4.511035442352295,0.0367352040269075,2025-07-19,5.35059666633606,2.3559766117541865,2.392711815781094,2025-07-19,2025-07-18
2025-07-19 05:50:00-04:00,0.7248256802558899,-4.478434085845947,0.039182862911125,2025-07-19,5.203259766101837,2.3082672953780667,2.347450158289192,2025-07-19,2025-07-18
2025-07-19 05:55:00-04:00,0.6650350093841553,-4.491434574127197,0.0398196468518968,2025-07-19,5.1564695835113525,2.297639794570965,2.3374594414228618,2025-07-19,2025-07-18
2025-07-19 20:00:00-04:00,0.6567621231079102,-0.636406660079956,0.0577316518601506,2025-07-19,1.2931687831878662,0.5284096688700245,0.5861413207301751,2025-07-19,2025-07-19
2025-07-19 20:05:00-04:00,2.1048026084899902,-0.6223773956298828,0.0585322308633479,2025-07-19,2.727180004119873,1.1589444983678854,1.2174767292312332,2025-07-19,2025-07-19
2025-07-19 20:10:00-04:00,0.2589334845542907,-0.1166785657405853,0.0271873073073796,2025-07-19,0.375612050294876,0.15473564999814302,0.1819229573055226,2025-07-19,2025-07-19
2025-07-19 20:15:00-04:00,0.7064645290374756,-0.5632688999176025,0.053926036067469,2025-07-19,1.269733428955078,0.5184334366809306,0.5723594727483996,2025-07-19,2025-07-19
2025-07-19 20:20:00-04:00,0.4005579352378845,-0.0932229235768318,0.0276314290817962,2025-07-19,0.4937808588147163,0.21015853541820434,0.23778996450000053,2025-07-19,2025-07-19
2025-07-19 20:25:00-04:00,0.6715904474258423,-0.4737566113471985,0.056385490048891,2025-07-19,1.1453470587730408,0.4680156303531721,0.5244011204020631,2025-07-19,2025-07-19
2025-07-19 20:30:00-04:00,0.6656194925308228,-0.7495613694190979,0.0532556144351974,2025-07-19,1.4151808619499209,0.579486506485655,0.6327421209208525,2025-07-19,2025-07-19
2025-07-19 20:35:00-04:00,0.7556218504905701,-0.6206374764442444,0.0541235255211962,2025-07-19,1.3762593269348145,0.5618908597745168,0.616014385295713,2025-07-19,2025-07-19
2025-07-19 20:40:00-04:00,0.6176227927207947,-0.1418099999427795,0.0277970197817574,2025-07-19,0.7594327926635742,0.32547386823518437,0.3532708880169418,2025-07-19,2025-07-19
2025-07-19 20:45:00-04:00,0.7133385539054871,-0.6862835884094238,0.0527734808015079,2025-07-19,1.3996221423149109,0.5716927796381644,0.6244662604396723,2025-07-19,2025-07-19
2025-07-19 20:50:00-04:00,0.723941445350647,-0.891870379447937,0.05263734519562,2025-07-19,1.615811824798584,0.6627880413622468,0.7154253865578668,2025-07-19,2025-07-19
2025-07-19 20:55:00-04:00,0.6786965131759644,-0.6839573383331299,0.0516547009545293,2025-07-19,1.3626538515090942,0.5568893791660422,0.6085440801205715,2025-07-19,2025-07-19
2025-07-19 21:00:00-04:00,0.4284819960594177,-0.0546588189899921,0.0251396472383473,2025-07-19,0.4831408150494098,0.21147048460495785,0.23661013184330515,2025-07-19,2025-07-19
2025-07-19 21:05:00-04:00,0.7108800411224365,-1.355901122093201,0.0504064412091911,2025-07-19,2.066781163215637,0.8618784855964877,0.9122849268056789,2025-07-19,2025-07-19
2025-07-19 21:10:00-04:00,0.6387260556221008,-0.057655531913042,0.0238973861628293,2025-07-19,0.6963815875351428,0.3108433844118849,0.3347407705747142,2025-07-19,2025-07-19
2025-07-19 21:15:00-04:00,0.8691403865814209,-0.5945912003517151,0.0523804880573188,2025-07-19,1.463731586933136,0.5989044865442731,0.6512849746015918,2025-07-19,2025-07-19
2025-07-19 21:20:00-04:00,1.140169620513916,-1.368371605873108,0.0497797591080736,2025-07-19,2.508541226387024,1.0270173875157969,1.0767971466238704,2025-07-19,2025-07-19
2025-07-19 21:25:00-04:00,0.4474393427371979,-0.238278642296791,0.0232061372780925,2025-07-19,0.6857179850339888,0.28255918899360355,0.30576532627169606,2025-07-19,2025-07-19
2025-07-19 21:30:00-04:00,0.8597740530967712,-0.4572182893753052,0.0496536618542213,2025-07-19,1.3169923424720764,0.5423900864978489,0.5920437483520702,2025-07-19,2025-07-19
2025-07-19 21:35:00-04:00,0.632953405380249,-0.4495086669921875,0.0482445604775264,2025-07-19,1.0824620723724363,0.44238832198882855,0.49063288246635495,2025-07-19,2025-07-19
2025-07-19 21:40:00-04:00,0.5254210829734802,-0.4415193498134613,0.0467445781205688,2025-07-19,0.9669404327869416,0.39475824671956783,0.44150282484013664,2025-07-19,2025-07-19
2025-07-19 21:45:00-04:00,0.5206904411315918,-0.4374178051948547,0.0462823705262041,2025-07-19,0.9581082463264464,0.3911521853770031,0.4374345559032072,2025-07-19,2025-07-19
2025-07-19 21:50:00-04:00,0.3943301141262054,-0.4203786849975586,0.0459069950589289,2025-07-19,0.814708799123764,0.3337616302919056,0.3796686253508345,2025-07-19,2025-07-19
2025-07-19 21:55:00-04:00,0.159722238779068,-0.1020799651741981,0.0221071621976759,2025-07-19,0.2618022039532661,0.10692715376064212,0.12903431595831802,2025-07-19,2025-07-19
2025-07-19 22:00:00-04:00,1.814448595046997,-0.4511001110076904,0.0465625521718542,2025-07-19,2.2655487060546875,0.9721568304217951,1.0187193825936494,2025-07-19,2025-07-19
2025-07-19 22:05:00-04:00,0.5226784348487854,-0.0502173267304897,0.020935249691154,2025-07-19,0.5728957615792751,0.25495499965006035,0.27589024934121437,2025-07-19,2025-07-19
2025-07-19 22:10:00-04:00,1.935786247253418,-0.4677576422691345,0.0460659331396008,2025-07-19,2.4035438895225525,1.0334451961538615,1.0795111292934623,2025-07-19,2025-07-19
2025-07-19 22:15:00-04:00,0.6132394075393677,-0.4460036158561706,0.0455441721323128,2025-07-19,1.0592430233955383,0.43280646056899674,0.47835063270130956,2025-07-19,2025-07-19
2025-07-19 22:20:00-04:00,3.024333000183105,-0.0728255808353424,0.0257781140217472,2025-07-19,3.0971585810184474,1.4373372514610259,1.463115365482773,2025-07-19,2025-07-19
2025-07-19 22:25:00-04:00,1.7185031175613403,-0.1199137791991233,0.0248059671867788,2025-07-19,1.838416896760464,0.8346210403181183,0.8594270075048971,2025-07-19,2025-07-19
2025-07-19 22:30:00-04:00,0.9670917987823486,-0.4237377941608429,0.0472522871346035,2025-07-19,1.3908295929431915,0.5775757132160806,0.6248280003506841,2025-07-19,2025-07-19
