Time,Max Attenuation,Min Attenuation,Average Attenuation
2025-07-17 01:50:00-04:00,0.20198898017406464,-3.185173511505127,-0.007119418205893457
2025-07-17 01:55:00-04:00,0.4131753742694855,-3.769925117492676,-0.0082612195456316
2025-07-17 02:00:00-04:00,0.22770485281944275,-3.8289806842803955,-0.010659745392571286
2025-07-17 02:05:00-04:00,0.41722387075424194,-3.9869260787963867,-0.012345468203471266
2025-07-17 02:10:00-04:00,0.30040672421455383,-4.046435832977295,-0.014808223371413475
2025-07-17 02:15:00-04:00,0.47434428334236145,-4.0887932777404785,-0.01658466528990941
2025-07-17 02:20:00-04:00,0.16342918574810028,-4.074352264404297,-0.01582120772013797
2025-07-17 02:25:00-04:00,0.14975276589393616,-4.141105651855469,-0.017338036722676285
2025-07-17 02:30:00-04:00,0.9172557592391968,-4.161038398742676,-0.017349199544906966
2025-07-17 02:35:00-04:00,1.2151031494140625,-4.132800102233887,-0.014095554668558644
2025-07-17 02:40:00-04:00,0.8360438942909241,-4.121572971343994,-0.014959848414901283
2025-07-17 02:45:00-04:00,0.3740348219871521,-4.287278175354004,-0.015174570940522209
2025-07-17 02:50:00-04:00,0.3104003667831421,-4.340915679931641,-0.01402924541936921
2025-07-17 02:55:00-04:00,0.36326080560684204,-4.305945873260498,-0.01309728875766857
2025-07-17 03:00:00-04:00,0.5766239166259766,-4.240811347961426,-0.013688891030980655
2025-07-17 03:05:00-04:00,0.8481106162071228,-4.227025508880615,-0.01436947358535571
2025-07-17 03:10:00-04:00,0.4875202178955078,-4.1206183433532715,-0.013752814751378096
2025-07-17 03:15:00-04:00,0.2039118856191635,-4.100090980529785,-0.015411048130191613
2025-07-17 03:20:00-04:00,0.7018439173698425,-4.120114326477051,-0.014755983624445398
2025-07-17 03:25:00-04:00,0.17678619921207428,-4.203067779541016,-0.01578689276491704
2025-07-17 03:30:00-04:00,1.4144096374511719,-4.159616947174072,-0.014135868254446281
2025-07-17 03:35:00-04:00,0.3802098333835602,-3.8170454502105713,-0.017480562007634017
2025-07-17 03:40:00-04:00,0.3366491496562958,-3.8640520572662354,-0.015691309494868463
2025-07-17 03:45:00-04:00,0.27046898007392883,-3.940591812133789,-0.015591810934828155
2025-07-17 03:50:00-04:00,0.6420247554779053,-3.6964006423950195,-0.013884946870592444
2025-07-17 03:55:00-04:00,0.31439292430877686,-3.7140579223632812,-0.013393541027681704
2025-07-17 04:00:00-04:00,0.5765523910522461,-3.7782742977142334,-0.014236275067579143
2025-07-17 04:05:00-04:00,0.21541818976402283,-3.69775652885437,-0.015746243022703693
2025-07-17 04:10:00-04:00,0.4186668395996094,-3.747223377227783,-0.014978217709837436
2025-07-17 04:15:00-04:00,0.32347679138183594,-3.7735979557037354,-0.01332253995802415
2025-07-17 04:20:00-04:00,0.24189254641532898,-3.7508814334869385,-0.014399687059541305
2025-07-17 04:25:00-04:00,0.6023344397544861,-4.829113006591797,-0.015816214777475177
2025-07-17 04:30:00-04:00,1.1255884170532227,-3.717733860015869,-0.014598193201054148
2025-07-17 04:35:00-04:00,0.24021407961845398,-3.698176860809326,-0.014449485529123585
2025-07-17 04:40:00-04:00,0.307034432888031,-3.682694435119629,-0.01408685668399935
2025-07-17 04:45:00-04:00,0.1381348967552185,-3.6407291889190674,-0.01425588315382219
2025-07-17 04:50:00-04:00,0.6988010406494141,-3.6849632263183594,-0.01371358286669068
2025-07-17 04:55:00-04:00,0.1836412250995636,-3.748830795288086,-0.014318365778267235
2025-07-17 05:00:00-04:00,0.43747878074645996,-3.783708333969116,-0.014530088753234902
2025-07-17 05:05:00-04:00,0.20388737320899963,-3.0073511600494385,-0.01690394958658672
2025-07-17 05:10:00-04:00,0.15547125041484833,-2.986815929412842,-0.01773310224842814
2025-07-17 05:15:00-04:00,0.26280099153518677,-2.9201242923736572,-0.018479228231748746
2025-07-17 05:20:00-04:00,0.6931219696998596,-2.9235212802886963,-0.019083710913423278
2025-07-17 05:25:00-04:00,0.2455732226371765,-2.8488996028900146,-0.02383163932812067
2025-07-17 05:30:00-04:00,0.11668464541435242,-2.8757338523864746,-0.021788109378874137
2025-07-17 05:35:00-04:00,0.21153947710990906,-2.9015605449676514,-0.019624832746921523
2025-07-17 05:40:00-04:00,0.722046971321106,-2.9388644695281982,-0.01833277614407642
2025-07-17 05:45:00-04:00,0.7411853075027466,-2.9613723754882812,-0.016690330761926758
2025-07-17 05:50:00-04:00,0.14179910719394684,-2.943744659423828,-0.015529094056956742
2025-07-17 05:55:00-04:00,0.29528793692588806,-2.931107759475708,-0.009383076531547385
2025-07-17 20:00:00-04:00,0.27800896763801575,-0.17774531245231628,0.02073877324630217
2025-07-17 20:05:00-04:00,0.6424649357795715,-0.6826497316360474,0.019568772669192262
2025-07-17 20:10:00-04:00,1.0511105060577393,-0.1326911598443985,0.02143665883672938
2025-07-17 20:15:00-04:00,0.26523303985595703,-0.13883399963378906,0.0199810964643998
2025-07-17 20:20:00-04:00,0.43253231048583984,-0.09223679453134537,0.021406322902420147
2025-07-17 20:25:00-04:00,0.2490110546350479,-0.10897789895534515,0.02108533704918907
2025-07-17 20:30:00-04:00,0.25313884019851685,-0.30069053173065186,0.020074222705462243
2025-07-17 20:35:00-04:00,0.4160606563091278,-0.13265512883663177,0.021115393119655688
2025-07-17 20:40:00-04:00,0.24411088228225708,-0.1375102400779724,0.020338395051416876
2025-07-17 20:45:00-04:00,0.30892983078956604,-0.308599054813385,0.020995118163569537
2025-07-17 20:50:00-04:00,0.23308435082435608,-0.12077826261520386,0.019924094248889974
2025-07-17 20:55:00-04:00,0.22801993787288666,-0.10547543317079544,0.019869219271236867
2025-07-17 21:00:00-04:00,0.21460787951946259,-0.4111415445804596,0.019148741465039514
2025-07-17 21:05:00-04:00,0.3683038055896759,-0.0786232277750969,0.019318279337841256
2025-07-17 21:10:00-04:00,0.2592630088329315,-0.08509471267461777,0.01863664405815601
2025-07-17 21:15:00-04:00,0.4430586099624634,-0.1098555326461792,0.01872535923003623
2025-07-17 21:20:00-04:00,0.9709024429321289,-0.19253453612327576,0.01839233978642561
2025-07-17 21:25:00-04:00,0.5337599515914917,-0.05883405730128288,0.01887913560056191
2025-07-17 21:30:00-04:00,0.6700687408447266,-0.08607050031423569,0.019184473017591255
2025-07-17 21:35:00-04:00,0.18077893555164337,-0.05501188710331917,0.018433045413621396
2025-07-17 21:40:00-04:00,0.14896994829177856,-0.07021289318799973,0.01828119027696718
2025-07-17 21:45:00-04:00,0.1811525821685791,-0.08372274786233902,0.018594262686774738
2025-07-17 21:50:00-04:00,0.3773342967033386,-0.12223559617996216,0.01859279703365716
