band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
z,324.62517619025084,-28.223512005633566,0.06624034562873504,0.025655746459960938,0.004554373677819967,0,False,True,0.025655746459960938,0.004554373677819967,2025-10-25 01:33:43.508000+00:00,2025-10-25 01:33:46.605000+00:00,3.097
z,326.13803969862596,-31.063418250086293,0.08228470118204712,0.0116424560546875,0.006879542022943497,0,False,True,0.0116424560546875,0.006879542022943497,2025-10-25 01:34:27.332000+00:00,2025-10-25 01:34:16.853000+00:00,10.479
z,322.88339904981706,-30.970549887791385,0.06823013433143998,0.019090652465820312,0.005107308272272348,0,False,True,0.019090652465820312,0.005107308272272348,2025-10-25 01:35:07.368000+00:00,2025-10-25 01:35:17.486000+00:00,10.118
z,324.4076009506834,-33.83133541551327,0.05604231070697452,0.0184326171875,0.00336416601203382,0,False,True,0.0184326171875,0.00336416601203382,2025-10-25 01:35:51.240000+00:00,2025-10-25 01:35:57.710000+00:00,6.47
z,326.1237131511518,-36.66975681783841,0.0794975512310856,0.03006744384765625,0.0049605597741901875,0,False,True,0.03006744384765625,0.0049605597741901875,2025-10-25 01:36:36.193000+00:00,2025-10-25 01:36:27.920000+00:00,8.273
z,324.44395041290056,-39.39946339359512,0.11033580746165583,0.029611587524414062,0.004130263347178698,0,False,True,0.029611587524414062,0.004130263347178698,2025-10-25 01:37:18.128000+00:00,2025-10-25 01:37:28.322000+00:00,10.194
z,328.11107207520587,-39.453193297235835,0.07869017159335456,0.006626129150390625,0.007993734441697598,0,False,True,0.006626129150390625,0.007993734441697598,2025-10-25 01:37:56.630000+00:00,2025-10-25 01:37:58.566000+00:00,1.936
z,326.5471803267901,-42.16852426313549,1.197544622043445,0.021532058715820312,0.00488241296261549,0,False,True,0.021532058715820312,0.00488241296261549,2025-10-25 01:38:40.617000+00:00,2025-10-25 01:38:29.074000+00:00,11.543
r,328.4391033022782,-41.941700611321885,0.12016093855724819,0.0052814483642578125,0.005066992715001106,0,False,True,0.0052814483642578125,0.005066992715001106,2025-10-25 02:03:19.491000+00:00,2025-10-25 02:03:30.445000+00:00,10.954
r,328.43912990044345,-41.94169958841214,0.11580901890340556,0.021564483642578125,0.004944670479744673,0,False,True,0.021564483642578125,0.004944670479744673,2025-10-25 02:03:55.554000+00:00,2025-10-25 02:04:00.634000+00:00,5.08
r,329.00294391025056,-41.94246620370913,0.06287948816708067,-0.001308441162109375,0.004444238729774952,0,False,True,-0.001308441162109375,0.004444238729774952,2025-10-25 02:05:34.131000+00:00,2025-10-25 02:05:41.192000+00:00,7.061
r,329.0027782689555,-41.94251981338546,0.03952274673589429,0.033252716064453125,0.004307535011321306,0,False,True,0.033252716064453125,0.004307535011321306,2025-10-25 02:06:10.192000+00:00,2025-10-25 02:06:11.931000+00:00,1.7389999999999999
r,329.4608006675999,-41.94308045004366,0.09949296710603406,0.023519515991210938,0.005576618947088718,0,False,True,0.023519515991210938,0.005576618947088718,2025-10-25 02:07:23.650000+00:00,2025-10-25 02:07:12.400000+00:00,11.25
r,329.46103119959696,-41.94307991087663,0.10970116357566795,0.007328033447265625,0.005139071960002184,0,False,True,0.007328033447265625,0.005139071960002184,2025-10-25 02:07:59.757000+00:00,2025-10-25 02:07:42.577000+00:00,17.18
r,329.91912915186145,-41.9436871472971,0.13736541281052794,0.012838363647460938,0.005195431411266327,0,False,True,0.012838363647460938,0.005195431411266327,2025-10-25 02:09:13.078000+00:00,2025-10-25 02:09:23.508000+00:00,10.43
r,329.9192796276213,-41.94368801882362,0.1085726986088531,0.01374053955078125,0.005148862488567829,0,False,True,0.01374053955078125,0.005148862488567829,2025-10-25 02:09:49.160000+00:00,2025-10-25 02:09:53.804000+00:00,4.644
r,330.3797288927697,-41.94428971296795,0.048596824100020086,0.025041580200195312,0.0050812033005058765,0,False,True,0.025041580200195312,0.0050812033005058765,2025-10-25 02:11:03.223000+00:00,2025-10-25 02:10:54.140000+00:00,9.083
r,330.37988532918024,-41.94433955086237,0.07766162332608317,0.007415771484375,0.005295950453728437,0,False,True,0.007415771484375,0.005295950453728437,2025-10-25 02:11:39.286000+00:00,2025-10-25 02:11:34.342000+00:00,4.944
r,331.3791341153544,-41.945565425900774,0.07237837602819397,0.006587982177734375,0.005235574208199978,0,False,True,0.006587982177734375,0.005235574208199978,2025-10-25 02:15:01.811000+00:00,2025-10-25 02:15:15.942000+00:00,14.131
r,331.37919406759676,-41.94562020425651,0.060327813952905984,0.018472671508789062,0.0049479445442557335,0,False,True,0.018472671508789062,0.0049479445442557335,2025-10-25 02:15:37.941000+00:00,2025-10-25 02:15:46.140000+00:00,8.199
r,331.8375119663525,-41.946138319631096,0.11211229191391325,0.01155853271484375,0.004095669835805893,0,False,True,0.01155853271484375,0.004095669835805893,2025-10-25 02:16:51.311000+00:00,2025-10-25 02:16:46.533000+00:00,4.7780000000000005
r,331.8374533071356,-41.94613878386,0.08459678670544335,0.012552261352539062,0.0039466251619160175,0,False,True,0.012552261352539062,0.0039466251619160175,2025-10-25 02:17:27.420000+00:00,2025-10-25 02:17:16.722000+00:00,10.698
r,332.3181736032251,-41.946733597248354,0.08662179936119685,0.024473190307617188,0.0025743842124938965,0,False,True,0.024473190307617188,0.0025743842124938965,2025-10-25 02:18:46.304000+00:00,2025-10-25 02:18:57.300000+00:00,10.996
r,332.31804831563534,-41.94678735475985,0.08760281190121333,0.01947784423828125,0.002634684555232525,0,False,True,0.01947784423828125,0.002634684555232525,2025-10-25 02:19:22.378000+00:00,2025-10-25 02:19:27.472000+00:00,5.094
r,332.7525735717156,-41.947314148641674,0.07390410909959044,0.010129928588867188,0.003418300300836563,0,False,True,0.010129928588867188,0.003418300300836563,2025-10-25 02:20:29.916000+00:00,2025-10-25 02:20:27.916000+00:00,2.0
r,332.7525688161194,-41.94726055156111,0.114073506649369,0.026033401489257812,0.0025079064071178436,0,False,True,0.026033401489257812,0.0025079064071178436,2025-10-25 02:21:06.017000+00:00,2025-10-25 02:21:08.137000+00:00,2.12
r,333.2120158715072,-41.947813315252844,0.07135612466191787,0.014469146728515625,0.0021572771947830915,0,False,True,0.014469146728515625,0.0021572771947830915,2025-10-25 02:22:19.714000+00:00,2025-10-25 02:22:09.131000+00:00,10.583
r,333.2117495975449,-41.94786732425097,0.07900844479661373,0.019567489624023438,0.0021364062558859587,0,False,True,0.019567489624023438,0.0021364062558859587,2025-10-25 02:22:55.861000+00:00,2025-10-25 02:23:09.502000+00:00,13.641
i,349.3130227510406,-44.67080227688323,0.09727714864969528,0.029926300048828125,0.0043283263221383095,0,False,True,0.029926300048828125,0.0043283263221383095,2025-10-25 02:27:10.831000+00:00,2025-10-25 02:26:51.181000+00:00,19.65
i,348.82320371520524,-47.42171247860943,0.12622828357290672,0.01918792724609375,0.0051618339493870735,0,False,True,0.01918792724609375,0.0051618339493870735,2025-10-25 02:27:50.522000+00:00,2025-10-25 02:28:01.564000+00:00,11.042
i,352.80714613407133,-48.985910559839915,0.11174219574561661,0.00811004638671875,0.008932908065617085,0,False,True,0.00811004638671875,0.008932908065617085,2025-10-25 02:28:35.042000+00:00,2025-10-25 02:28:31.796000+00:00,3.246
i,356.9978302887284,-50.34507182471682,0.11856455228530294,0.01696014404296875,0.00225978996604681,0,False,True,0.01696014404296875,0.00225978996604681,2025-10-25 02:29:18.823000+00:00,2025-10-25 02:29:32.177000+00:00,13.354
i,1.3768882487934246,-51.513295364210165,0.09099104522702106,0.019693374633789062,0.003784359898418188,0,False,True,0.019693374633789062,0.003784359898418188,2025-10-25 02:30:03.588000+00:00,2025-10-25 02:30:02.431000+00:00,1.157
i,1.6513056288385346,-54.3756333821037,0.11390529998688237,0.020723342895507812,0.004423821344971657,0,False,True,0.020723342895507812,0.004423821344971657,2025-10-25 02:30:43.421000+00:00,2025-10-25 02:30:42.645000+00:00,0.776
i,356.948739331699,-53.17688420586098,0.10172248130944439,0.029804229736328125,0.007297475356608629,0,False,True,0.029804229736328125,0.007297475356608629,2025-10-25 02:31:25.767000+00:00,2025-10-25 02:31:12.896000+00:00,12.871
i,352.4881907286351,-51.78122935485216,0.10930015600695953,0.018102645874023438,0.0024598068557679653,0,False,True,0.018102645874023438,0.0024598068557679653,2025-10-25 02:32:10.069000+00:00,2025-10-25 02:32:13.337000+00:00,3.268
i,348.28624110166294,-50.18262852503331,0.09304568221872245,0.004825592041015625,0.003780454397201538,0,False,True,0.004825592041015625,0.003780454397201538,2025-10-25 02:32:53.973000+00:00,2025-10-25 02:32:43.643000+00:00,10.33
i,352.148580181483,-54.58419832452721,0.11254882192749349,0.010387420654296875,0.002923712832853198,0,False,True,0.010387420654296875,0.002923712832853198,2025-10-25 02:34:17.182000+00:00,2025-10-25 02:34:24.450000+00:00,7.268
i,2.01295269361934,-57.23402490997859,0.12526631446016978,0.014600753784179688,0.004812280181795359,0,False,True,0.014600753784179688,0.004812280181795359,2025-10-25 02:35:40.838000+00:00,2025-10-25 02:35:55.053000+00:00,14.215
