band,ra,dec,ext_consdb,err_consdb,ext_dream,sig_dream,visit_time,dt_sec
r,46.18188481612331,-31.803984566972645,-0.017677391175695334,,0.1689434051513672,0.013717195019125938,2025-12-16 03:25:49.629000+00:00,0.165
r,46.18160552513028,-31.803983505206798,-0.013015726226647928,,0.18126678466796875,0.00913475826382637,2025-12-16 03:28:21.204000+00:00,9.602
r,9.721341298984184,-26.156164593771006,-0.015439832579669854,,0.03320503234863281,0.008760966360569,2025-12-16 03:32:16.527000+00:00,3.908
r,9.721440739060753,-26.156164204976616,-0.017389620447580967,,0.036838531494140625,0.010260113514959812,2025-12-16 03:32:52.876000+00:00,9.998
r,10.318608930096486,-26.15587247805443,-0.028786081288583176,,0.034793853759765625,0.011048863641917706,2025-12-16 03:34:38.994000+00:00,14.999
r,10.318649455628607,-26.155930429180188,-0.03064738736163619,,0.06773757934570312,0.011749216355383396,2025-12-16 03:35:15.397000+00:00,8.853
r,10.93316837055635,-26.15567106509071,-0.031766403688092026,,0.048740386962890625,0.010587971657514572,2025-12-16 03:37:05.677000+00:00,10.7
r,10.933021417658619,-26.155671136797107,-0.0310337010370354,,0.048778533935546875,0.009939350187778473,2025-12-16 03:37:42.037000+00:00,6.717
r,11.489337384458484,-26.155421311889757,-0.03127195139209249,,0.06056022644042969,0.01113350410014391,2025-12-16 03:39:18.690000+00:00,12.531
r,11.489119662856549,-26.155363930516113,-0.030195940570614255,,0.037220001220703125,0.010430105030536652,2025-12-16 03:39:55.034000+00:00,11.676
r,12.021614650153888,-26.15517229065145,-0.02928062108549767,,0.04719734191894531,0.01121628936380148,2025-12-16 03:41:25.942000+00:00,8.691
r,12.021701753379391,-26.155172955459005,-0.03024930258187908,,0.04068756103515625,0.010831405408680439,2025-12-16 03:42:02.359000+00:00,14.834
r,12.929448110010842,-26.154717561438424,-0.037384569587409544,,0.032867431640625,0.014428600668907166,2025-12-16 03:46:55.823000+00:00,4.291
r,12.92932824247843,-26.154718147759247,-0.037245476382228304,,0.014415740966796875,0.014168688096106052,2025-12-16 03:49:21.747000+00:00,10.411
u,14.673723620766893,-26.15374826989938,0.08876845082649609,,0.023801803588867188,0.015648173168301582,2025-12-16 03:53:50.795000+00:00,12.921
u,14.673562876079743,-26.153688988053368,0.07679874907257656,,0.03593254089355469,0.009191605262458324,2025-12-16 03:56:18.633000+00:00,13.785
r,16.41281817256656,-26.152650866935623,-0.0328967961504496,,0.0609588623046875,0.007036817260086536,2025-12-16 04:00:48.142000+00:00,9.087
r,16.412664279332272,-26.15259342133492,-0.03282334046170732,,0.0676116943359375,0.006749445106834173,2025-12-16 04:03:20.763000+00:00,17.744
r,19.921086935642645,-26.150053881058362,-0.017391067626981283,,0.07017898559570312,0.013617254793643951,2025-12-16 04:14:49.854000+00:00,5.561
r,19.920983459229525,-26.149999899158953,-0.020694515825308457,,0.08868026733398438,0.010901827365159988,2025-12-16 04:17:19.173000+00:00,6.375
u,21.712244063789697,-26.148537617724077,0.09392316103816611,,0.0344085693359375,0.004587119445204735,2025-12-16 04:21:54.083000+00:00,13.63
u,21.712365897871297,-26.148537440726678,0.09698682820447857,,0.04083251953125,0.005862233228981495,2025-12-16 04:24:25.943000+00:00,7.125
r,23.469745609723578,-26.146919765783693,-0.014946050174543757,,0.03028106689453125,0.006050377152860165,2025-12-16 04:28:53.213000+00:00,8.127
r,23.46958319384819,-26.146860822840907,-0.007740890822791613,,0.04489898681640625,0.005717836320400238,2025-12-16 04:31:22.498000+00:00,10.061
r,26.970306759850526,-26.143270252752146,-0.006905425641345886,,0.07169914245605469,0.008138591423630714,2025-12-16 04:42:53.954000+00:00,4.185
r,26.970247188592378,-26.143268334573246,-0.01622854023547049,,0.057994842529296875,0.008213560096919537,2025-12-16 04:45:26.401000+00:00,12.912
r,28.298628040885845,-26.141837809106086,-0.01721598781406186,,0.06930923461914062,0.008373811841011047,2025-12-16 04:46:17.647000+00:00,8.111
r,28.298432131142494,-26.14177993344059,-0.017178676817831473,,0.054744720458984375,0.00910637341439724,2025-12-16 04:46:54.008000+00:00,14.184
r,28.87687985693278,-26.14116899403151,-0.015149740585659544,,0.0680694580078125,0.010133117437362671,2025-12-16 04:48:36.341000+00:00,14.572
r,28.876799887356892,-26.141169142521846,-0.009332192314374765,,0.06557273864746094,0.0083012031391263,2025-12-16 04:49:12.696000+00:00,8.5
r,29.43467777486079,-26.140509681500063,-0.00988073330985273,,0.03769683837890625,0.00939845759421587,2025-12-16 04:50:49.451000+00:00,2.459
r,29.434772032322556,-26.140510852109333,-0.005699573497640387,,0.03213691711425781,0.007792794611304998,2025-12-16 04:51:25.794000+00:00,3.633
r,33.947754952352625,-26.134762411581807,0.0037888568218598095,,0.06171417236328125,0.006480851676315069,2025-12-16 05:10:44.452000+00:00,12.85
r,33.947591368287185,-26.134761356514208,0.0021206101636543906,,0.05814552307128906,0.0062925852835178375,2025-12-16 05:13:16.103000+00:00,2.733
u,35.84210313719603,-26.13206853515651,0.13500873883407039,,0.0427703857421875,0.008807544596493244,2025-12-16 05:18:14.255000+00:00,8.557
