night,strategy,strategy_label,N_visits,Total_photons,Open_shutter_frac,Median_m5,Mean_m5,Coadd_m5_proxy,Median_airmass,Mean_cloud_ext,Min_cloud_ext,Mean_slew_s,Total_slew_h,Total_exposure_h,Sky_frac_visited,fO_area_deg2,Delta_depth_vs_phot,Max_gap_min,Median_gap_min
2025-07-20,absolute,Abs Min (Green),1354.0,88084606.80129129,0.9408072213878297,24.281037699560013,24.145433368625465,19.84292798789427,1.5748015748023623,0.30416128330625836,-1.7462021112442017,5.9560024708431305,2.240118707089333,11.283333333333333,0.06404622395833333,2642.096395124753,-0.33456663137453546,1.1695999978110194,0.5020666646305472
2025-07-20,motion,Motion Track (Blue),1354.0,74219812.3666107,0.9408072213878297,24.111625765079523,24.000797932255033,19.796861964325107,1.5394804318340654,0.45020200235737884,-1.7199519872665405,4.477267253822959,1.6839499615767464,11.283333333333333,0.08138020833333333,3357.174580844667,-0.47920206774496776,1.1695999978110194,0.5020666646305472
2025-07-20,scheduler,Scheduler (Red),643.0,24016955.808150075,0.5470566875508492,22.90573265210973,22.448158240421993,16.538087798498974,1.22126243283034,1.2002151136251165,-0.09054577715384464,3.0818478845485124,0.5504522749346371,5.358333333333333,0.021484375,886.2940893429922,-2.0318417595780076,82.54051667056046,0.5020499951206148
2025-07-21,absolute,Abs Min (Green),1351.0,115359245.89236441,0.9409994723842543,24.56036989507815,24.50647766358665,20.44642784960521,1.6673332000533065,-0.06875704168217486,-2.1402793725331626,6.209037032235549,2.3301136195972854,11.258333333333333,0.034749348958333336,1433.513546020673,0.02647766358665038,1.16811667336151,0.5019666685257107
2025-07-21,motion,Motion Track (Blue),1351.0,93815454.85408807,0.9409994723842543,24.373276947012624,24.297766064183257,20.28379505807157,1.6699800971161711,0.14567293481303067,-2.1402793725331626,3.0181123392200258,1.1326304917461818,11.258333333333333,0.056966145833333336,2350.022206591267,-0.1822339358167433,1.16811667336151,0.5019666685257107
2025-07-21,scheduler,Scheduler (Red),629.0,42192529.64532291,0.5371631500308588,23.65392445767152,23.4562437182528,19.11984474686012,1.2056192759089628,0.17301723714148318,-0.18188321590423584,3.0719295207248183,0.5367343523710864,5.241666666666666,0.021402994791666668,882.9369147621475,-1.0237562817472003,81.89816666068509,0.5019249999895692
2025-07-23,absolute,Abs Min (Green),14902.0,1159539038.9020607,32.189682524929744,24.459898406023466,24.433480230891064,19.150077044080756,1.50996688705415,0.019299458055696737,-1.7916150093078613,5.301301971965465,21.94444499617482,124.18333333333334,0.044840494791666664,1849.8031940454116,-0.046519769108936515,0.503733332734555,0.0010333315003663301
2025-07-23,motion,Motion Track (Blue),14902.0,1014968314.1953921,32.189682524929744,24.358839104444545,24.29520192857087,19.038046010550538,1.582543662729229,0.15238793637445264,-1.0618717670440674,3.2910111434497273,13.622957794357733,124.18333333333334,0.062174479166666664,2564.8813797653256,-0.18479807142913174,0.503733332734555,0.0010333315003663301
2025-07-23,scheduler,Scheduler (Red),,,,,,,,,,,,,,,,,
2025-07-29,absolute,Abs Min (Green),1257.0,48103659.87571204,0.8858234839183542,23.49033931343096,23.360872705814618,18.8617017104838,1.4142135623730951,1.0991449075147837,-0.5366535186767578,7.129047430156296,2.48922572769624,10.475,0.06534830729166667,2695.8111884182676,-1.1191272941853825,13.356633342336863,0.503100001369603
2025-07-29,motion,Motion Track (Blue),1257.0,45476953.35514856,0.8858234839183542,23.49033931343096,23.328573031261964,18.85986112214678,1.4142135623730951,1.1315799553005028,-0.5366535186767578,6.666462171093781,2.327706374740245,10.475,0.06640625,2739.4544579692483,-1.1514269687380363,13.356633342336863,0.503100001369603
2025-07-29,scheduler,Scheduler (Red),529.0,5922173.733592447,0.4507888293256309,21.289576312154356,21.120612214674452,16.060408764041316,1.194379721977813,2.4994510884800665,0.23941850662231445,3.1135309187102127,0.45751607111047293,4.408333333333333,0.019612630208333332,809.0790739835647,-3.3593877853255485,92.00851665926166,0.5031166656408459
2025-07-30,absolute,Abs Min (Green),33.0,1976194.8749750203,0.19860447258454067,24.164755592391856,24.149855562533702,22.121551524127348,1.2041594578792296,0.326911656543462,-0.32386016845703125,4.334104210470433,0.03972928859597897,0.275,0.0013834635416666667,57.071967874359345,-0.3301444374662985,23.869733337778598,0.5039583396865055
2025-07-30,motion,Motion Track (Blue),33.0,1972576.9943611897,0.19860447258454067,24.164755592391856,24.148420261422068,22.120857693713983,1.2041594578792296,0.3285541630754567,-0.32386016845703125,4.306662670497539,0.03947774114622744,0.275,0.0013834635416666667,57.071967874359345,-0.33157973857793266,23.869733337778598,0.5039583396865055
2025-07-30,scheduler,Scheduler (Red),19.0,116858.51020040238,0.11843565203754894,21.03617442605652,20.798280286853423,18.016079217067663,1.237075943747163,2.9911252490261147,1.5835227966308594,9.83048096085666,0.051883093960076815,0.15833333333333333,0.0015462239583333333,63.78631703604867,-3.6817197131465775,24.56381666357629,0.8380333345849067
2025-08-09,absolute,Abs Min (Green),1312.0,130917838.54230121,0.9423010579962018,24.712133183042557,24.713616148078888,20.77792605441912,1.5716201444690872,-0.263728680285981,-0.5898323059082031,6.138277253683105,2.2370610435645095,10.933333333333334,0.048421223958333336,1997.518875602577,0.23361614807888742,1.1708833300508559,0.5032333312556148
2025-08-09,motion,Motion Track (Blue),1312.0,115518026.7098353,0.9423010579962018,24.57555485054543,24.56999174784787,20.615529282991144,1.565247584249853,-0.11734072760907063,-0.5898323059082031,3.9727704500980754,1.4478541195912986,10.933333333333334,0.041666666666666664,1718.8733853924696,0.08999174784786845,1.1708833300508559,0.5032333312556148
2025-08-09,scheduler,Scheduler (Red),277.0,9051320.730011491,0.24405261974283304,22.503549963418003,22.68695767812581,19.258956470058614,1.2032358438074122,1.3182568372720211,-0.4390983581542969,3.1117891509805644,0.239434887450449,2.308333333333333,0.009928385416666666,409.5752988630494,-1.7930423218741893,91.44099999801256,0.5032916693016887
2025-08-12,absolute,Abs Min (Green),1302.0,115494287.33783568,0.9407853650207442,24.573532208230784,24.591400661440858,20.677904453388965,1.5165750888103102,-0.1399184481713418,-0.5816249847412109,6.842094382096486,2.4745574681915623,10.85,0.040771484375,1681.9444650031783,0.11140066144085736,0.6804000050760806,0.5030999961309135
2025-08-12,motion,Motion Track (Blue),1302.0,92895950.2760967,0.9407853650207442,24.330694324310166,24.345321702088636,20.41897066176885,1.565247584249853,0.10401846369341415,-0.5816249847412109,2.8667612058918066,1.0368119694642033,10.85,0.049479166666666664,2041.1621451535575,-0.1346782979113641,0.6804000050760806,0.5030999961309135
2025-08-12,scheduler,Scheduler (Red),406.0,26554155.6395358,0.35980481563595573,23.807157548631395,23.523123917446583,19.697385034972676,1.2322461359710168,0.20198183850319637,-0.04721546173095703,3.0311468271910655,0.3418460032887702,3.3833333333333333,0.014404296875,594.219900809506,-0.9568760825534177,132.88033333257772,0.5031333246733993
2025-08-19,absolute,Abs Min (Green),977.0,58156483.56076303,0.7660579907710924,24.45832266841563,23.891016005866284,19.23732821933407,1.57797338380595,0.5548194092446571,-0.4555988311767578,10.822414595663892,2.937083072212117,8.141666666666667,0.05126953125,2115.01998593214,-0.5889839941337165,86.5766833384987,0.5033916654065251
