band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
z,61069.03886194444,354.76533578726804,-41.25988347571985,29.04297637939453,80.55762533507935,True,101.65258736071644,4399.2578125,30.755828857421875,21.9713134765625,2.0470166206359863,31.58596897125244,0.8301401138305664,19.6,-4379.6578125,0.0,-1.0,True,True,True
i,61007.06570678241,32.16482203402508,-3.6805147685324813,60.80819320678711,47.26960567657538,True,57.526629341916944,1553.80078125,31.234731674194336,23.28766632080078,1.1452263593673706,31.966468811035156,0.7317371368408203,20.5,-1533.30078125,0.0,-1.0,True,True,True
r,61021.28500587963,77.3597632921061,-25.894125059189605,58.656856536865234,45.444722092195725,True,97.94560576607203,235.51910400390625,30.230545043945312,22.941612243652344,1.169550895690918,32.17755126953125,1.9470062255859375,21.3,-214.21910400390624,2.0528555844888224e-86,-1.0,True,True,True
i,61042.076233182874,40.27887982972731,-31.801369883794557,74.75645446777344,97.21448980497142,True,72.49592189654797,3780.830810546875,30.32964324951172,21.596677780151367,1.035783052444458,31.966468811035156,1.6368255615234375,20.5,-3760.330810546875,0.0,-1.0,True,True,True
i,61068.04297164352,85.73721526171217,-46.83192073805151,70.18339538574219,70.49695409245568,True,77.31631490830868,1195.1171875,31.234939575195312,23.51238250732422,1.0626474618911743,31.966468811035156,0.7315292358398438,20.5,-1174.6171875,0.0,-1.0,True,True,True
y,60982.33554637731,91.19442546438687,-60.73622003038361,59.49248504638672,92.43571870240046,True,92.52914893403057,4749.7978515625,29.637664794921875,20.631664276123047,1.1599533557891846,30.497295379638672,0.8596305847167969,18.6,-4731.1978515625,0.0,-1.0,True,True,True
r,61012.016732627315,21.76019123159173,-42.0735293174399,73.3021011352539,94.32166108443707,True,64.69796934144587,30545.8671875,31.461305618286133,21.064870834350586,1.0439435243606567,32.17755126953125,0.7162456512451172,21.3,-30524.5671875,0.0,-1.0,True,True,True
i,60985.05366633102,353.45157761095584,-60.39165094791476,59.988861083984375,99.3198964776266,True,94.19054921133873,20511.546875,31.155712127685547,21.37192726135254,1.1541497707366943,31.966468811035156,0.8107566833496094,20.5,-20491.046875,0.0,-1.0,True,True,True
y,60982.336425960646,90.22003282244212,-57.985450248855,62.19713592529297,92.4409723209223,True,91.62916134290579,3266.4462890625,29.91921043395996,21.141298294067383,1.1299046277999878,30.497295379638672,0.5780849456787109,18.6,-3247.8462890625,0.0,-1.0,True,True,True
r,60982.01225396991,335.51956196255264,-45.37584497325396,74.99242401123047,90.92161258718579,True,55.49857572894311,5476.0380859375,31.828237533569336,22.271778106689453,1.0351563692092896,32.17755126953125,0.34931373596191406,21.3,-5454.7380859375,0.0,-1.0,True,True,True
