band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,zp_scale,sky_scale,sky_bg,zero_point,mag_lim,dream_ext,dt_sec,zp_deficit,sky_excess_mag
i,60973.10875653935,2.496866520435413,-60.08894257606783,60.28894805908203,10.880559923477445,False,78.6211597286932,0.9874948263168335,0.6609607934951782,2402.866455078125,31.855972290039062,22.90833282470703,0.0272369384765625,11.315,0.01366292762827768,0.44956075247233246
i,60973.1092328125,356.94727765179596,-58.84953234889991,61.338443756103516,10.88371884150845,False,76.8930835277273,0.9546443223953247,0.6702520847320557,2369.561767578125,31.837608337402344,22.827939987182617,0.01812744140625,12.008,0.050396015001799334,0.4344045663160081
i,60973.11019803241,347.02807415155826,-55.732173139570165,62.47419357299805,10.89013220846089,False,73.48511101650995,0.9316840171813965,0.6976345777511597,2276.55419921875,31.824390411376953,22.841106414794922,0.0211639404296875,3.253,0.07682838666530073,0.3909300051286327
i,60973.112104224536,357.1862451039889,-64.52895965650933,55.66734313964844,10.90284289628639,False,74.17157268674497,0.9510306715965271,0.6649852395057678,2388.33154296875,31.835548400878906,22.83901596069336,0.0208740234375,6.834,0.05451369112039413,0.4429699862623123
i,60973.11253726852,357.1862737000109,-64.52895831362004,55.656986236572266,10.905738808660043,False,74.16909254743291,0.9330242872238159,0.6704388856887817,2368.900146484375,31.825172424316406,22.820491790771484,0.018865585327148438,13.939,0.07526762785240047,0.4341020110402763
i,60973.113442037036,350.9830315710791,-63.027757183511234,56.400691986083984,10.91179924358132,False,72.38329362324217,0.9528534412384033,0.6857469081878662,2316.0146484375,31.836585998535156,22.89792251586914,0.029293060302734375,1.463,0.05243473307410728,0.40959035453270126
i,60973.11391629629,345.41335645017034,-61.30063529633781,56.861610412597656,10.914981354200625,False,70.62128933015953,0.9088629484176636,0.6806377172470093,2333.486328125,31.81096649169922,22.81169319152832,0.025821685791015625,2.149,0.10375400270806655,0.41770997082758743
i,60973.11438116898,344.4043913507155,-64.0803378803411,54.17256164550781,10.918104063902101,False,69.26673437909683,0.9056328535079956,0.677131175994873,2345.48583984375,31.80899429321289,22.789592742919922,0.02075958251953125,12.145,0.10761957758465715,0.423317975656908
i,60973.11572115741,350.5225231349009,-65.84347719325501,53.563568115234375,10.927125038205077,False,71.06266939499825,0.882691502571106,0.6991101503372192,2271.75146484375,31.795066833496094,22.768657684326172,0.028667449951171875,7.038,0.1354776355658732,0.3886359808259491
i,60973.11618443287,349.9983126770675,-68.65381354819405,50.83017349243164,10.930250704762518,False,69.81011495942144,0.923423171043396,0.6811999678611755,2331.5576171875,31.81959342956543,22.80715560913086,0.02452850341796875,6.866,0.08649808022883945,0.41681345299832145
i,60973.116620810186,349.9983325497596,-68.65381334219926,50.810611724853516,10.933198101681995,False,69.80784227470494,0.9579887986183167,0.6846036911010742,2319.888671875,31.839508056640625,22.885631561279297,0.0146484375,14.386,0.04659892231067223,0.4114019091372355
i,60973.11750591435,357.4505227106241,-67.36498873223968,52.756103515625,10.939185862011486,False,72.87453185744438,0.8551404476165771,0.709878146648407,2237.290283203125,31.77785301208496,22.719573974609375,0.0233154296875,0.161,0.16990637804604747,0.37204048306118864
i,60973.11797241898,357.8551408866303,-70.19584978300252,49.98368835449219,10.942346928276315,False,71.66443193379247,0.8270848393440247,0.6989145278930664,2272.3857421875,31.759742736816406,22.671743392944336,0.021709442138671875,10.204,0.20612484954920318,0.38893983007092103
i,60973.11840755787,357.85514589801494,-70.19585011543973,49.97467803955078,10.945298657465463,False,71.66241041820568,0.8639097809791565,0.6936684846878052,2289.6103515625,31.783409118652344,22.708324432373047,0.02321624755859375,7.505,0.15882902247386976,0.3971200906831818
i,60973.119762870374,6.773631165150894,-71.42492986251872,48.95273971557617,10.954512077590389,False,73.50304477413262,0.9170423150062561,0.6783819794654846,2341.2392578125,31.815826416015625,22.83289337158203,0.06482696533203125,3.521,0.09402656063485998,0.42131424298481235
i,60973.12019642361,6.773486778977691,-71.42492927278496,48.95391845703125,10.957465685086348,False,73.50125655573459,0.9798033237457275,0.679431676864624,2337.5498046875,31.851730346679688,22.94477081298828,0.06174278259277344,10.53,0.022152729095575932,0.41963552265081133
i,60973.12064814815,13.658198708829413,-69.54014053256303,50.596893310546875,10.960546336284583,False,76.4702182651587,0.9775122404098511,0.7094908952713013,2238.58544921875,31.850494384765625,22.94454002380371,0.043415069580078125,9.359,0.02469448915460904,0.3726329334225548
i,60973.121957650466,11.427843377631778,-66.75516518008382,53.50301742553711,10.969495547688595,False,77.67809095198356,0.9562227725982666,0.6969519853591919,2278.7861328125,31.838504791259766,22.89232635498047,0.012063980102539062,0.989,0.048602294311306846,0.3919928510671191
i,60973.122424155095,4.017850848490075,-65.77964107693714,54.56687927246094,10.972690385468608,False,75.90116736719294,0.921250581741333,0.71612548828125,2217.771240234375,31.818275451660156,22.84044075012207,0.021686553955078125,11.056,0.08905556222308224,0.36252717155985903
i,60973.12286008102,4.017922088081513,-65.7796417052407,54.56236267089844,10.97567899268806,False,75.8988651006698,0.9306932687759399,0.7103928327560425,2235.67041015625,31.823814392089844,22.848228454589844,0.020112991333007812,8.455,0.07798356775905248,0.371253572149523
i,60973.124664537034,9.7240974119237,-63.94137594943637,56.40926742553711,10.988082626113272,False,78.9297884337773,1.022608757019043,0.7260713577270508,2187.39306640625,31.874942779541016,23.045753479003906,0.030277252197265625,12.437,-0.024273768621426408,0.3475517376981136
i,60973.12509836806,9.724115929818867,-63.941377070746,56.41340255737305,10.991072576442907,False,78.92747079974153,1.0028059482574463,0.7412517070770264,2142.59716796875,31.86432647705078,23.015464782714844,0.030399322509765625,19.715,-0.0030422534022349883,0.3250857336534215
i,60973.12877423611,5.929118340981541,-52.5017689232684,67.7730712890625,11.016528157750432,False,84.48677718409031,0.9914961457252502,0.7889708280563354,2013.0023193359375,31.85816764831543,22.996675491333008,0.021924972534179688,13.886,0.009272424255644961,0.25734763598271376
i,60973.1302671875,8.983815816060392,-47.48721356573217,72.89170837402344,11.026928844251515,False,89.15410459697372,1.0363707542419434,0.7941340208053589,1999.985107421875,31.88223648071289,23.09695053100586,0.022619247436523438,12.086,-0.038787872395447114,0.25026549587005786
i,60973.13121841435,4.928141487315766,-46.691042908849155,73.26241302490234,11.033574178087163,False,87.48890621518655,0.9721769690513611,0.785854697227478,2020.989501953125,31.847488403320312,22.98457145690918,0.012111663818359375,3.187,0.030636679024866675,0.2616443665359074
i,60973.13174157407,0.9757997494446378,-45.756587754054884,73.09691619873047,11.037235161495463,False,85.81653077889794,1.0060386657714844,0.7749897837638855,2049.31591796875,31.866069793701172,23.028793334960938,0.021633148193359375,18.173,-0.006536681443147456,0.2767600562639483
i,60973.132748634256,357.06216248354383,-47.51230829033709,70.06029510498047,11.044294676380861,False,82.59766624805546,0.9472141265869141,0.7469786405563354,2126.1650390625,31.833362579345703,22.88772201538086,0.029058456420898438,4.577,0.058879583951020525,0.3167295410476609
z,60973.13790302083,16.998191768473507,-56.83219262782295,63.33763885498047,11.080678944545424,False,86.3122360359426,1.1376081705093384,0.6573472023010254,3623.66748046875,31.542797088623047,22.582733154296875,0.020107269287109375,6.913,-0.13998175644765184,0.45551295275854636
z,60973.13836523148,18.839623378904438,-59.656957047683456,60.40089797973633,11.083962138642233,False,84.91825392234898,1.0094432830810547,0.6479737758636475,3676.07421875,31.4779052734375,22.315505981445312,0.0167999267578125,15.673,-0.01020480637422671,0.47110642524700985
z,60973.1402071875,30.60722424571189,-54.9305962702914,62.434749603271484,11.09707933505949,False,92.51575705955305,1.1114650964736938,0.7656474709510803,3111.0966796875,31.530174255371094,22.600788116455078,0.012063980102539062,13.686,-0.11473957256529618,0.28992786920076835
z,60973.142016956015,37.62928721895281,-52.17352887087507,62.010643005371094,11.110019063712622,False,96.97128019562614,1.077810287475586,0.6956906318664551,3423.9365234375,31.51348114013672,22.4796085357666,0.016910552978515625,8.331,-0.08135581132629585,0.3939596119742005
z,60973.1429743287,36.667451785131426,-46.746493877372444,66.0612564086914,11.116884889756479,False,101.48844059438755,1.1279370784759521,0.6943786144256592,3430.403564453125,31.538158416748047,22.598899841308594,0.0096893310546875,0.356,-0.1307121834426196,0.3960091577267658
