band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
i,60994.289869803244,53.91314822509122,-25.948248026372717,59.884605407714844,20.628139838159115,False,120.84821596014898,2319.376708984375,31.98537826538086,23.696277618408203,1.1545579433441162,31.966468811035156,-0.018909454345703125,20.5,-2298.876708984375,0.0,-1.0,False,False,False
z,60991.29308505787,52.610970997294935,8.210337033925343,39.91177749633789,48.901038972432396,True,89.13978272310182,3668.98828125,31.59638023376465,23.086713790893555,1.553708791732788,31.58596897125244,-0.010411262512207031,19.6,-3649.38828125,0.0,-1.0,True,False,False
r,61058.18151533565,101.81919653033817,-14.747702340022652,72.04293060302734,0.4767454608105737,False,138.93385040997373,897.7625732421875,32.17823791503906,24.242490768432617,1.0505807399749756,32.17755126953125,-0.0006866455078125,21.3,-876.4625732421875,0.0,-1.0,False,False,False
i,61007.118998391205,72.26761328620559,-67.30631569221117,48.10177993774414,47.71610464113388,True,83.00889110971185,2961.51513671875,31.959836959838867,23.333147048950195,1.3418049812316895,31.966468811035156,0.0066318511962890625,20.5,-2941.01513671875,0.0,-1.0,True,False,False
z,61009.17220689815,76.05557120740914,-0.9902035758916273,57.005165100097656,69.58115416142773,True,76.32856923921669,4394.44921875,31.60259246826172,22.996707916259766,1.191745400428772,31.58596897125244,-0.016623497009277344,19.6,-4374.84921875,0.0,-1.0,True,False,False
r,60996.29550400463,77.68947829047995,-50.81137085790324,66.88072967529297,7.606810089186195,False,100.64781741111283,980.1741943359375,32.11537170410156,23.71279525756836,1.0867228507995605,32.17755126953125,0.0621795654296875,21.3,-958.8741943359375,0.0,-1.0,False,False,False
g,60988.07202334491,1.8911729003541102,4.140425036826534,55.45029067993164,81.72362352518002,False,93.16208697983359,737.021728515625,32.27379608154297,24.69405746459961,1.2132238149642944,32.23981475830078,-0.0339813232421875,22.2,-714.821728515625,1.178443034545447e-286,-1.0,False,False,False
i,61090.153919756944,156.02608935929285,-11.241864564077472,61.70759582519531,3.0898158269249687,False,160.4687036403719,1605.3865966796875,31.975276947021484,23.609310150146484,1.1354707479476929,31.966468811035156,-0.008808135986328125,20.5,-1584.8865966796875,0.0,-1.0,False,False,False
g,61091.328450277775,167.28847562532428,-38.60132405202314,63.980201721191406,9.41680802399355,False,142.9928600145962,653.420654296875,31.205352783203125,23.69904327392578,1.1113951206207275,32.23981475830078,1.0344619750976562,22.2,-631.220654296875,3.248914491453611e-253,-1.0,False,True,False
r,60989.11659924768,20.64645064656312,-0.3786283973025522,59.998619079589844,71.643887331207,False,93.4407376594998,1289.0450439453125,32.205291748046875,24.306509017944336,1.1541428565979004,32.17755126953125,-0.027740478515625,21.3,-1267.7450439453125,0.0,-1.0,False,False,False
