band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,sky_bg,zero_point
r,60973.08582127315,328.4391033022782,-41.941700611321885,66.9070053100586,10.732900431137532,True,1289.3349609375,32.052452087402344
r,60973.08623865741,328.43912990044345,-41.94169958841214,66.80288696289062,10.7355090820211,True,1284.764892578125,32.05670166015625
r,60973.08737959491,329.00294391025056,-41.94246620370913,66.90721130371094,10.742654848621674,True,1276.7974853515625,32.10973358154297
g,60975.01560832176,341.25142339477367,-29.873377358079434,80.23697662353516,24.518854531406255,True,912.26025390625,30.707286834716797
g,60975.01637545139,341.68101771582263,-29.873746525092297,80.10555267333984,24.523640193786395,True,904.8187866210938,32.236629486083984
g,60975.01679591435,341.68106988089227,-29.873746453168252,80.23663330078125,24.526268072245504,True,900.8989868164062,32.237083435058594
g,60975.01797891204,342.26031679333624,-29.874250215772932,80.10578155517578,24.533680293772793,True,896.3237915039062,32.27516555786133
g,60975.01839957176,342.26011135493667,-29.874249861546406,80.23714447021484,24.536322597000936,True,894.4114379882812,32.27606201171875
g,60975.01929497685,342.7357117282504,-29.87463823167764,80.10603332519531,24.541958513981076,True,888.6565551757812,32.279151916503906
g,60975.01971540509,342.7356997723501,-29.874638078881464,80.2371597290039,24.544610248616443,True,887.0130615234375,32.2778434753418
g,60975.026236666665,321.86859997552654,-59.287633807304104,59.96646499633789,24.58619161167539,True,980.316162109375,32.25214385986328
g,60975.02665716435,321.86871150318524,-59.28766902062423,59.93876266479492,24.58890212288975,True,980.195556640625,32.25349044799805
g,60975.02750329861,322.3277018820901,-59.28836233574378,59.96654510498047,24.59436712996646,True,977.116943359375,32.24462127685547
g,60975.02792403935,322.3278624014245,-59.28836399538987,59.938865661621094,24.59709001910195,True,976.1586303710938,32.24518966674805
g,60975.02877464121,322.7883583153804,-59.28908735124087,59.96659469604492,24.602605827685537,True,973.3074951171875,32.25086975097656
g,60975.02919494213,322.78831982509837,-59.28908941843685,59.938907623291016,24.60533675593463,True,972.8031005859375,32.245784759521484
g,60975.03003527778,323.24499053730693,-59.28983494474485,59.966583251953125,24.610807711234678,True,971.4047241210938,32.24922180175781
g,60975.03045563657,323.2448787551043,-59.28979862023691,59.93891525268555,24.61354985929959,True,970.0887451171875,32.2464599609375
g,60975.03123861111,323.6802662172317,-59.290474199986924,59.96652603149414,24.61866714775718,True,965.4755249023438,32.24677276611328
g,60975.03165903935,323.68025671522065,-59.29047351957503,59.938838958740234,24.621420144312722,True,964.72216796875,32.25056838989258
g,60975.03798530093,337.86969532323286,-60.381281559769405,59.98885726928711,24.663287449443537,True,893.5125732421875,32.24253845214844
g,60975.03840586806,337.8697764075278,-60.38128105491925,59.9884033203125,24.6661004053517,True,891.137451171875,32.241607666015625
g,60975.03898164352,338.23061160035206,-60.381646456132515,59.98885726928711,24.669957505915008,True,889.278076171875,32.244503021240234
g,60975.03940231482,338.2304732041381,-60.38164694691776,59.988399505615234,24.672779985218714,True,887.2678833007812,32.24353790283203
g,60975.03998050926,338.5927036882788,-60.38200624003618,59.98885726928711,24.67666545568609,True,884.9212646484375,32.24677276611328
g,60975.0404008912,338.5927167981537,-60.38200601459259,59.9884033203125,24.679494861087033,True,886.4493408203125,32.243141174316406
g,60975.04097570602,338.9535866103847,-60.38236019737252,59.988861083984375,24.683369740096715,True,888.9642333984375,32.23828125
g,60975.04139626157,338.9536094672967,-60.38236184451289,59.9884033203125,24.686209179575574,True,887.6611938476562,32.240203857421875
g,60975.04197332176,339.3149900517044,-60.382712360376765,59.98885726928711,24.690111392424896,True,887.4200439453125,32.236000061035156
g,60975.04239383102,339.31494514433155,-60.38271187064087,59.9884033203125,24.692959430062146,True,890.6599731445312,32.225364685058594
g,60975.042967685185,339.67583459795713,-60.383057911304064,59.98885726928711,24.696852119836148,True,891.8814697265625,32.22553253173828
g,60975.043388391205,339.6757559980205,-60.383058278685304,59.9884033203125,24.69971040158676,True,894.2329711914062,32.21770095825195
g,60975.043965509256,340.03667337796986,-60.38339521344522,59.98885726928711,24.703637494269554,True,902.6868286132812,32.21488952636719
g,60975.04438607639,340.0366228770072,-60.38339526942571,59.988399505615234,24.70650379516818,True,912.9495239257812,32.206146240234375
g,60975.044960879626,340.3978773352327,-60.383729866775035,59.98885726928711,24.71042738756414,True,929.2578125,32.17959976196289
g,60975.04538137731,340.3978081919849,-60.38372909094222,59.9884033203125,24.71330217870139,True,965.7264404296875,32.14020919799805
g,60975.04595934028,340.7594842926791,-60.38406286908541,59.988853454589844,24.71725969457835,True,950.6361083984375,32.152122497558594
g,60975.0463796412,340.7595216364667,-60.38406263357497,59.988399505615234,24.72014215085218,True,932.7990112304688,32.18244171142578
g,60975.046955590275,341.1209694454563,-60.38438656274293,59.98885726928711,24.724098226637032,True,926.7784423828125,32.181968688964844
g,60975.04737626157,341.121042869919,-60.38438638960297,59.9884033203125,24.726992247564517,True,928.0738525390625,32.18199157714844
g,60975.047952002315,341.4819035808138,-60.38470351788396,59.98885726928711,24.73095926099951,True,918.5462646484375,32.19159698486328
g,60975.04837224537,341.48174687639954,-60.38470203897392,59.9884033203125,24.733859371957763,True,909.05419921875,32.202266693115234
g,60975.048948125,341.8426827582893,-60.385017729697324,59.98885726928711,24.737839739158478,True,898.58056640625,32.21320343017578
g,60975.049368472224,341.84263088519737,-60.38501622742571,59.9884033203125,24.740749629756397,True,887.6138916015625,32.2225341796875
g,60975.04994332176,342.203614975482,-60.38532424317556,59.98885726928711,24.744735278214776,True,881.2366943359375,32.2296142578125
g,60975.050363877315,342.2035672711249,-60.38532494908339,59.9884033203125,24.74765569143038,True,876.45361328125,32.232906341552734
g,60975.05093849537,342.5643887968266,-60.38562693877465,59.98885726928711,24.75165215656873,True,872.0819091796875,32.22675323486328
g,60975.05135891204,342.56446033894684,-60.38562840556194,59.9884033203125,24.754580702964923,True,868.9710693359375,32.230010986328125
g,60975.05193376158,342.92503853317334,-60.38592391898408,59.988861083984375,24.758591232939015,True,864.0177001953125,32.22815704345703
g,60975.05235416667,342.92501779654293,-60.38592599574471,59.9884033203125,24.761528819026267,True,864.0072021484375,32.23139953613281
g,60975.052929212965,343.28585122453904,-60.386218955178464,59.98885726928711,24.765553212676057,True,862.3170166015625,32.238502502441406
g,60975.05334954861,343.2858172729892,-60.38621883533926,59.988399505615234,24.768499455950028,True,861.5899658203125,32.238861083984375
g,60975.053924513886,343.6468059718149,-60.386506810845,59.98885726928711,24.772535801110525,True,860.8822021484375,32.23630905151367
g,60975.05434517361,343.64686222714084,-60.3865063065577,59.9884033203125,24.775493485717735,True,860.0473022460938,32.239845275878906
g,60975.054921967596,344.00783342306175,-60.38678833839237,59.98885726928711,24.779555270993008,True,858.4432373046875,32.23989486694336
g,60975.05534224537,344.00772164205574,-60.38678631599602,59.9884033203125,24.78251947033173,True,857.6845703125,32.24284362792969
g,60975.05591826389,344.3688038726865,-60.38706279212075,59.98885726928711,24.786588410156423,True,856.29345703125,32.23753356933594
g,60975.05633857639,344.36875318284257,-60.38706354008317,59.988399505615234,24.78956206611883,True,856.970947265625,32.238304138183594
g,60975.05691341435,344.7298579673607,-60.38733455652849,59.98885726928711,24.793635271973763,True,854.8566284179688,32.238609313964844
g,60975.05733386574,344.7298764367612,-60.38733436535373,59.9884033203125,24.796619136124264,True,860.8526611328125,32.225669860839844
g,60975.0647187037,347.1533414706808,-60.38902086483001,59.986881256103516,24.84966736229103,True,886.100830078125,32.17154312133789
g,60975.066412002314,347.76978446198797,-60.389409000243006,59.986900329589844,24.862002600416332,True,894.7255859375,32.17371368408203
g,60975.06811085648,348.38427316234487,-60.389780829405986,59.98689270019531,24.874443074074758,True,877.9541015625,32.17683410644531
g,60975.069803391205,348.9956138140166,-60.39013544143937,59.986873626708984,24.88690197134226,True,837.017822265625,32.22541809082031
g,60975.07149659722,349.60901115340323,-60.39047614919207,59.986873626708984,24.899430611988706,True,832.3931884765625,32.226043701171875
g,60975.073185891204,350.22689170190534,-60.39080154919033,59.986915588378906,24.91199507318368,True,817.1013793945312,32.22795104980469
g,60975.07488680555,350.8352496553186,-60.391109404903865,59.98685073852539,24.924711496127184,True,825.9525756835938,32.20810317993164
g,60975.07658035879,351.45145765753426,-60.391404217455005,59.98686981201172,24.937438381908382,True,860.4519653320312,32.17601013183594
g,60975.07827886574,352.0654135001426,-60.391680099666125,59.986854553222656,24.950268292776762,True,834.7777099609375,32.20553207397461
g,60975.079979270835,352.6815406301872,-60.39194400945991,59.98685073852539,24.96317869892737,True,1173.498291015625,31.701581954956055
g,60975.08167472222,353.30148636676626,-60.39218909097169,59.98689651489258,24.976117543276715,True,841.000244140625,32.18863296508789
g,60975.08335949074,353.9123540012721,-60.39241902198241,59.98689651489258,24.989040328272992,True,864.3871459960938,32.154457092285156
g,60975.08939105324,30.3220509463603,-25.98729146553788,60.10080337524414,25.035841512119084,True,773.465087890625,32.20475769042969
g,60975.089811481485,30.32208747499979,-25.987290337599056,60.23188400268555,25.039135155227598,True,771.5048828125,32.207645416259766
g,60975.090763912034,30.817592682182624,-25.98669444586024,60.10128402709961,25.046611676814024,True,771.9452514648438,32.21958923339844
g,60975.091184537036,30.81764852971636,-25.986693005981714,60.23241424560547,25.049920257763773,True,769.9692993164062,32.215946197509766
g,60975.092142002315,31.314474819450027,-25.98608477698285,60.10224151611328,25.057466871698118,True,759.9934692382812,32.22687911987305
g,60975.092562418984,31.314386169250586,-25.9860851680472,60.233428955078125,25.060787268356975,True,757.3818359375,32.22659683227539
g,60975.093463136574,31.793861795598332,-25.985488926490703,60.10053253173828,25.067914850170514,True,749.109619140625,32.228759765625
g,60975.093891226854,31.79383086659016,-25.985488507356518,60.23406219482422,25.071309038767847,True,746.69384765625,32.23094177246094
g,60975.09483667824,32.28997965440932,-25.98481298001943,60.100711822509766,25.078820324609786,True,747.779296875,32.22945785522461
g,60975.09525694444,32.28980756159915,-25.984863020156457,60.23194122314453,25.082165875047547,True,745.5692138671875,32.228816986083984
g,60975.09771144676,33.32882068076874,-25.983473282857158,60.10069274902344,25.10178726386918,True,743.8630981445312,32.23629379272461
g,60975.0981318287,33.32874910775808,-25.983522950598996,60.231868743896484,25.105161902193394,True,742.6407470703125,32.234886169433594
g,60975.098705289354,33.68776134637218,-25.983051134421956,60.100868225097656,25.109772036923072,True,741.216552734375,32.238861083984375
g,60975.09912590278,33.68761917055389,-25.983051319988977,60.2321662902832,25.113158289228693,True,743.8159790039062,32.230350494384766
g,60975.09969959491,34.04708262679499,-25.982574030268825,60.10084915161133,25.117783597598333,True,747.2620849609375,32.233192443847656
g,60975.10012001157,34.047107769409806,-25.982573248035948,60.231937408447266,25.121178024388733,True,747.6639404296875,32.23067855834961
g,60975.10069546296,34.406620035451695,-25.98209111815258,60.10112380981445,25.125830888555083,True,768.4747314453125,32.18287658691406
g,60975.101115833335,34.406583796373134,-25.982091084200146,60.23225021362305,25.129234720754813,True,792.002685546875,32.13456344604492
g,60975.101690787036,34.7663581957421,-25.981603386625455,60.10105895996094,25.133896934548428,True,751.10498046875,32.2188720703125
g,60975.102111203705,34.766380500733845,-25.981603332258054,60.23215103149414,25.13731092181318,True,838.0274047851562,32.01852798461914
g,60975.10268488426,35.12590838953994,-25.981212991011866,60.100799560546875,25.141976152222046,True,805.938720703125,32.09513473510742
g,60975.103105277776,35.126038937538915,-25.981111762657736,60.23176193237305,25.145399722799095,True,882.1258544921875,31.917003631591797
g,60975.10368008102,35.4850881336907,-25.98061601174237,60.10114669799805,25.150087453971437,True,945.615966796875,31.8007869720459
g,60975.10410040509,35.48507927249559,-25.98061550237928,60.232234954833984,25.153520242988947,True,810.803955078125,32.09827423095703
g,60975.10467519676,35.84502704949135,-25.980114578548104,60.100833892822266,25.15822126176322,True,799.501953125,32.11204147338867
g,60975.105095520834,35.84495140254467,-25.980063763775025,60.23196792602539,25.16166383888796,True,764.9493408203125,32.188194274902344
g,60975.1056694213,36.20423867624646,-25.97960892371486,60.10087585449219,25.16637092914883,True,756.3897705078125,32.2119140625
g,60975.10608997685,36.2042365894546,-25.97960708763821,60.232032775878906,25.169825190715905,True,759.683837890625,32.202430725097656
g,60975.10666493056,36.56407822697354,-25.9790967863523,60.100772857666016,25.174554313026132,True,817.9607543945312,32.07326889038086
g,60975.1070853125,36.56403566105246,-25.97909549916859,60.231910705566406,25.178016947172328,True,781.6405639648438,32.15626525878906
g,60975.1076600463,36.92325361429195,-25.978581235867274,60.10111999511719,25.182757655919687,True,774.7525634765625,32.169219970703125
g,60975.108080439815,36.923219585750694,-25.97858157271893,60.23225402832031,25.18623018428595,True,776.5078125,32.16313552856445
g,60975.1086556713,37.28313549424006,-25.978062717479673,60.101016998291016,25.190988410384097,True,838.6591796875,32.018798828125
g,60975.10907615741,37.28316756354402,-25.97806344646389,60.23212432861328,25.19447151197446,True,846.9760131835938,31.999025344848633
g,60975.109650162034,37.642294008117105,-25.97753890554383,60.10118103027344,25.199232973105296,True,861.547119140625,31.968055725097656
g,60975.11007412037,37.64241451619049,-25.977539047854506,60.23329162597656,25.20275473357878,True,830.888671875,32.02552032470703
g,60975.11065329861,38.00301806989394,-25.977008057162287,60.10268783569336,25.20757269139483,True,792.028564453125,32.113975524902344
g,60975.11107363426,38.002997040943896,-25.977006083807318,60.233795166015625,25.211074222830455,True,796.0609741210938,32.11438751220703
g,60975.111648680555,38.36480896603422,-25.97647046067855,60.10085678100586,25.215871252195164,True,802.1446533203125,32.09314727783203
g,60975.11206920139,38.36481667133733,-25.97646924907908,60.23199462890625,25.219384138438368,True,800.9915771484375,32.09344482421875
g,60975.112643252316,38.72423242797581,-25.97593221861469,60.10081481933594,25.22418625439446,True,782.5279541015625,32.13059616088867
g,60975.11306369213,38.724185220149,-25.97593170082796,60.231971740722656,25.227708266128033,True,778.5411376953125,32.14131546020508
g,60975.11364829861,39.08402495944661,-25.975389305790635,60.10371780395508,25.23261238407609,True,782.8236083984375,32.13764190673828
g,60975.11406923611,39.08398691268341,-25.97538981204528,60.235023498535156,25.236148485620923,True,785.387939453125,32.126556396484375
g,60975.1146459375,39.446235989486645,-25.97483913575671,60.10222244262695,25.240999831423196,True,789.251953125,32.095237731933594
g,60975.11506616898,39.446289995274,-25.974837775827368,60.23323059082031,25.244539827125923,True,788.579345703125,32.10881042480469
g,60975.1156430787,39.80699499942299,-25.974285259090244,60.10182571411133,25.24940641021264,True,781.3089599609375,32.12468719482422
g,60975.11606346065,39.807023248134094,-25.97423430234758,60.232887268066406,25.252957501752228,True,744.0260009765625,32.21865463256836
g,60975.11664324074,40.16710646318808,-25.973729418447515,60.102928161621094,25.25786187310306,True,745.9796142578125,32.22975158691406
g,60975.117063645834,40.16712128085186,-25.973728866322816,60.23402404785156,25.261423017019013,True,773.1185302734375,32.154823303222656
g,60975.12108880787,41.374782382666936,-25.971831426359884,60.44697952270508,25.295728840138278,True,875.6188354492188,31.875225067138672
g,60975.12277054398,41.98336965455486,-25.97085660305534,60.446170806884766,25.310174449259442,True,845.0558471679688,31.953645706176758
g,60975.12446143518,42.59071496810912,-25.969871778481178,60.449283599853516,25.324765468921807,True,832.680419921875,31.97723388671875
g,60975.12614396991,43.2018389476896,-25.968866992972007,60.4465217590332,25.33935079901172,True,793.5250244140625,32.08660125732422
g,60975.127834212966,43.80991604222692,-25.9678548892265,60.44879150390625,25.354069620118764,True,786.4398803710938,32.110130310058594
g,60975.129525972225,44.42019554574139,-25.96682991495231,60.44963073730469,25.368868507392627,True,748.9796752929688,32.18085479736328
g,60975.13122844907,45.0317177637873,-25.965790178067408,60.452735900878906,25.383828622384364,True,734.032470703125,32.21697998046875
g,60975.13292420139,45.64702334288449,-25.964730249863486,60.45047378540039,25.398796869610518,True,748.041748046875,32.171470642089844
g,60975.1346180787,46.25975352681405,-25.963664538046675,60.44984436035156,25.413815475175817,True,722.9950561523438,32.21345520019531
g,60975.13628842593,46.87146781601711,-25.96258755209364,60.4427490234375,25.428690864425263,True,722.9046630859375,32.18473815917969
g,60975.13797519676,47.4750935169061,-25.961514300354445,60.44775390625,25.44377834748208,True,739.08251953125,32.13022994995117
g,60975.13967306713,48.084881505366376,-25.960419524346126,60.450897216796875,25.459031831723227,True,750.5089111328125,32.09489822387695
i,60975.150843703705,18.756252022779737,-46.08479037514689,74.29273986816406,25.561049004667247,True,1709.1402587890625,31.74826431274414
i,60975.15134833333,15.58771232080142,-48.391684803849664,71.79400634765625,25.56572536310165,True,1713.6824951171875,31.733108520507812
i,60975.15178525463,15.587654468221473,-48.391685478300516,71.77604675292969,25.569778983677736,True,1657.5330810546875,31.750579833984375
i,60975.152254085646,14.263009652886081,-45.7887356231675,74.0820541381836,25.574133510271203,True,1698.73779296875,31.645095825195312
i,60975.15268993055,14.263038134349271,-45.788737746478475,74.05074310302734,25.57818616850219,True,1739.7252197265625,31.53584861755371
i,60975.153260590276,9.933705984633779,-45.44762887213183,73.0925521850586,25.583498949907852,True,1818.94775390625,31.37160873413086
i,60975.153701863426,9.933721590343378,-45.44762953116279,73.03558349609375,25.58761225547229,True,1801.4473876953125,31.379714965820312
i,60975.15421107639,5.756715250555783,-45.02850713555276,71.53845977783203,25.59236438033068,True,1815.95458984375,31.46630859375
i,60975.15464922454,5.756837673195797,-45.02850666673341,71.46273040771484,25.596458040559778,True,1803.841064453125,31.468059539794922
i,60975.15513778935,6.752514335637446,-47.81197295891813,69.6635971069336,25.60102790775536,True,1844.134765625,31.413034439086914
i,60975.155574641205,6.75235782680577,-47.811971819357346,69.60099792480469,25.605118673540566,True,1828.6998291015625,31.37016487121582
i,60975.156085243056,11.083006399247106,-48.14146677646879,70.75762939453125,25.609905552803447,True,1808.33203125,31.354936599731445
i,60975.15652788195,11.083137697855928,-48.14146912505127,70.71026611328125,25.614060079896273,True,1805.03173828125,31.377399444580078
i,60975.15700769676,7.930487412408346,-50.626103563501005,67.49144744873047,25.61856856277396,True,1858.36474609375,31.357799530029297
i,60975.157498148146,12.407102575734006,-50.84984497343827,68.48690795898438,25.623182394044232,True,1804.9404296875,31.338897705078125
i,60975.15801071759,17.058460287681,-50.97884748228047,69.1385726928711,25.628010130357943,True,1781.8262939453125,31.403486251831055
i,60975.15848694444,18.783127018433678,-53.569156663712455,66.7148208618164,25.632500906557798,True,1791.013427734375,31.456344604492188
i,60975.158962118054,16.506121002944234,-56.409919187779664,63.701175689697266,25.636986872579303,True,1812.235107421875,31.56508445739746
i,60975.1594275463,14.07123256412441,-53.60230930840778,66.07820892333984,25.64138579182632,True,1766.20654296875,31.58903694152832
i,60975.15993125,9.435109734476566,-53.489103657076285,65.11397552490234,25.64615198762159,True,1824.3956298828125,31.460922241210938
i,60975.160403333335,11.51417661759335,-56.39258905177287,62.897911071777344,25.650624189604393,True,1783.1973876953125,31.548664093017578
i,60975.16087413194,14.011427984548375,-59.250515583833895,60.557518005371094,25.655089234992534,True,1780.04736328125,31.562786102294922
i,60975.16134474537,8.633576859533004,-59.13065709825975,59.709808349609375,25.659557524331746,True,1855.33056640625,31.468082427978516
i,60976.00534393518,338.6806151139075,-29.870993251059446,80.10565185546875,33.26993266656814,True,3874.43017578125,31.867164611816406
i,60976.005767546296,338.68060736893403,-29.87099338664203,80.23776245117188,33.27258486451339,True,3724.29248046875,31.881572723388672
